rx,ry,rz,tx,ty,tz
-0.031495,-0.025803,-0.031656,0.006367,-0.019856,0.001633
-0.028880,-0.022714,-0.024363,0.005582,-0.018467,0.000496
-0.025394,-0.019759,-0.017118,0.005069,-0.016212,-0.000351
-0.022301,-0.016488,-0.009772,0.004309,-0.014481,-0.001080
-0.019050,-0.013410,-0.002715,0.003912,-0.012602,-0.001992
-0.016139,-0.010083,0.003841,0.003325,-0.011095,-0.002859
-0.013380,-0.006702,0.009947,0.002725,-0.009715,-0.004196
-0.010366,-0.003717,0.014890,0.002481,-0.007967,-0.005084
-0.008289,-0.000890,0.019132,0.002225,-0.007193,-0.005927
-0.005848,0.001907,0.022500,0.001809,-0.005982,-0.006572
-0.003799,0.004157,0.024901,0.001593,-0.005110,-0.007170
-0.002468,0.006098,0.026471,0.001395,-0.004913,-0.007478
-0.000967,0.007269,0.026978,0.001503,-0.004363,-0.007610
-0.000275,0.008119,0.026908,0.001460,-0.004528,-0.007626
0.000442,0.008214,0.025655,0.001693,-0.004472,-0.007142
0.000242,0.007990,0.023998,0.001766,-0.005224,-0.006572
-0.000006,0.006888,0.021299,0.002301,-0.005791,-0.005937
-0.000467,0.005793,0.018083,0.002435,-0.006382,-0.005164
-0.001694,0.004071,0.014162,0.002880,-0.007674,-0.004389
-0.002922,0.002196,0.009727,0.003235,-0.008808,-0.003213
-0.004475,0.000197,0.004819,0.003548,-0.010168,-0.002363
-0.006320,-0.002214,-0.000941,0.004184,-0.011670,-0.001607
-0.008476,-0.004582,-0.007051,0.004693,-0.013244,-0.000884
-0.010888,-0.007171,-0.013872,0.005281,-0.014786,-0.000338
-0.013334,-0.009864,-0.021039,0.005782,-0.016118,0.000299
-0.016302,-0.012894,-0.028329,0.006400,-0.017751,0.001497
-0.019490,-0.016111,-0.035682,0.006919,-0.019318,0.003102
-0.022779,-0.019514,-0.042674,0.007483,-0.020662,0.004509
-0.026617,-0.023310,-0.049539,0.008219,-0.022242,0.006225
-0.030026,-0.026758,-0.055587,0.008570,-0.023241,0.007742
